#
# Initial 2-clique: It <<>> There
#
# Tightness =    0.7
# This is using plain MI NOT common-MI
#
# idx	epsilon	size	words
0	  -2.0	2	{ It There }
1	  -1.9	2	{ It There }
2	  -1.8	2	{ It There }
3	  -1.7	2	{ It There }
4	  -1.6	2	{ It There }
5	  -1.5	2	{ It There }
6	  -1.4	2	{ It There }
7	-1.300	2	{ It There }
8	  -1.2	2	{ It There }
9	  -1.1	2	{ It There }
10	  -1.0	2	{ It There }
11	-0.900	2	{ It There }
12	-0.800	2	{ It There }
13	  -0.7	2	{ It There }
14	-0.600	2	{ It There }
15	  -0.5	2	{ It There }
16	-0.400	2	{ It There }
17	-0.300	2	{ It There }
18	-0.200	2	{ It There }
19	-0.100	2	{ It There }
20	   0.0	2	{ It There }
21	0.1000	2	{ It There }
22	0.2000	2	{ It There }
23	0.3000	2	{ It There }
24	0.4000	2	{ It There }
25	   0.5	2	{ It There }
26	0.6000	4	{ She He It There }
27	0.7000	5	{ This She He It There }
28	0.8000	5	{ This She He It There }
29	0.9000	5	{ This She He It There }
30	   1.0	5	{ This She He It There }
31	   1.1	5	{ This She He It There }
32	1.2000	5	{ This She He It There }
33	1.3000	6	{ That This She He It There }
34	1.4000	7	{ That This They She He It There }
35	   1.5	7	{ That This They She He It There }
36	   1.6	7	{ That This They She He It There }
37	1.7000	8	{ Here That This They She He It There }
38	1.8000	10	{ These Here That We This They She He It There }
39	1.9000	33	{ Two Your Will Go Thank What’s Look Very Have Some An Perhaps Even Just See These Don’t Did Her Are With That’s Who Let Here That We This They She He It There }
40	   2.0	57	{ Two Nothing Your Will Go Thank What’s Look Very Have Some An Perhaps Even Just See These Yeah I’ve Don’t Did Her From Are With That’s Who Let By Good Of Here Come It’s Where Ah Not O All Is To I’m Do His Now How That Why We This They You What She He It There }
41	2.1000	66	{ Two Nothing Your Will Go Thank What’s Look Very Have Some An Perhaps Even Just See These Yeah I’ve Don’t Did Her From Are With That’s Who Let By Good Of Here Come It’s Where Ah After Not O All Is To I’m Do His Now On How For So That Why Well At Then Oh If We This They You What She He It There }
42	   2.2	72	{ Yet Two Nothing Your Will Go Thank What’s Look Very Have Some An Perhaps Even Just See These Yeah I’ve Don’t Did Her From Are With That’s Who Let By Good Of Here Come It’s Where Ah After Not One O All Is To I’m Do His Now On How For So That Why Well At Then When Yes Oh If We This They You What She And The He It There }
43	   2.3	73	{ Yet Two Nothing Your Will Go Thank What’s Look Very Have Some An Perhaps Even Just See These Yeah I’ve Don’t Did Her From Are With That’s Who Let By Good Of Here Come It’s I’ll Where Ah After Not One O All Is To I’m Do His Now On How For So That Why Well At Then When Yes Oh If We This They You What She And The He It There }
44	2.4000	75	{ Yet Two Nothing Your Will Go Thank What’s Look Very Have Some An Perhaps Even Just See These Yeah I’ve Don’t Did Her From Are With That’s Who Let By Good Of Here Come It’s I’ll Where Ah After Not One O All Is To I’m Do His Now On How For So That Why Well At As Then When Yes Oh If We This They You What She And But The He It There }
45	   2.5	77	{ Yet Two Nothing Your Will Go Thank What’s Look Very Have Some An Perhaps Even Just See These Yeah I’ve Don’t Did Her From Are With That’s Who Let By Good Of Here Come It’s I’ll Where Ah After Not One O All Is To I’m Do His My Now On How For So That Why Well At As Then When Yes Oh If We This They You In What She And But The He It There }
46	2.6000	77	{ Yet Two Nothing Your Will Go Thank What’s Look Very Have Some An Perhaps Even Just See These Yeah I’ve Don’t Did Her From Are With That’s Who Let By Good Of Here Come It’s I’ll Where Ah After Not One O All Is To I’m Do His My Now On How For So That Why Well At As Then When Yes Oh If We This They You In What She And But The He It There }
47	   2.7	78	{ Yet Two Nothing Your Will Go Thank What’s Look Very Have Some An Perhaps Even Just See These Yeah I’ve Don’t Did Her From Are With That’s Who Let By Good Of Here Come It’s I’ll Where Ah After Not One O All Is To I’m Do His My Now On How For So That Why Well At As Then When Yes Oh If We This They A You In What She And But The He It There }
48	2.8000	80	{ Thus Yet Two Nothing Your Will Go Thank What’s Look Very Have Some An Perhaps Even Just See These Yeah I’ve I'm Don’t Did Her From Are With That’s Who Let By Good Of Here Come It’s I’ll Where Ah After Not One O All Is To I’m Do His My Now On How For So That Why Well At As Then When Yes Oh If We This They A You In What She And But The He It There }
49	2.9000	82	{ Thus Yet Two Nothing Your Will Go Thank THE What’s Look Very Have Some An Perhaps Even Just See These Yeah I’ve I'm Don’t Did Her From Are With That’s Who Let By Good Of Here Come It’s I’ll Where Ah After Not One O All Is To I’m Do His My Now On How For So That Why Well At As Then When Yes Oh If We This They No A You In What She And But The He It There }
50	   3.0	85	{ Thus Yet Two Nothing Your Will Go Thank THE What’s Look Very Have Some An Perhaps Even Just See These Yeah However I’ve I'm Don’t Did Her From M Are With That’s Who Let By Good Of Here Come It’s I’ll Where Ah After Not One O All Is To I’m Do His My Now On How For So That Why Well At As Then When Yes Oh If We This They No A You In What She And But The He I It There }
51	3.1000	85	{ Thus Yet Two Nothing Your Will Go Thank THE What’s Look Very Have Some An Perhaps Even Just See These Yeah However I’ve I'm Don’t Did Her From M Are With That’s Who Let By Good Of Here Come It’s I’ll Where Ah After Not One O All Is To I’m Do His My Now On How For So That Why Well At As Then When Yes Oh If We This They No A You In What She And But The He I It There }
