#
# Initial 2-clique: , <<>> ;
#
# Tightness =    0.7
# This is using plain MI NOT common-MI
#
# idx	epsilon	size	words
0	  -2.0	2	{ , ; }
1	  -1.9	2	{ , ; }
2	  -1.8	2	{ , ; }
3	  -1.7	2	{ , ; }
4	  -1.6	2	{ , ; }
5	  -1.5	2	{ , ; }
6	  -1.4	2	{ , ; }
7	-1.300	2	{ , ; }
8	  -1.2	2	{ , ; }
9	  -1.1	2	{ , ; }
10	  -1.0	2	{ , ; }
11	-0.900	2	{ , ; }
12	-0.800	2	{ , ; }
13	  -0.7	2	{ , ; }
14	-0.600	2	{ , ; }
15	  -0.5	2	{ , ; }
16	-0.400	2	{ , ; }
17	-0.300	2	{ , ; }
18	-0.200	2	{ , ; }
19	-0.100	2	{ , ; }
20	   0.0	2	{ , ; }
21	0.1000	2	{ , ; }
22	0.2000	2	{ , ; }
23	0.3000	2	{ , ; }
24	0.4000	2	{ , ; }
25	   0.5	2	{ , ; }
26	0.6000	2	{ , ; }
27	0.7000	2	{ , ; }
28	0.8000	2	{ , ; }
29	0.9000	2	{ , ; }
30	   1.0	2	{ , ; }
31	   1.1	2	{ , ; }
32	1.2000	3	{ – , ; }
33	1.3000	3	{ – , ; }
34	1.4000	3	{ – , ; }
35	   1.5	4	{ – : , ; }
36	   1.6	4	{ – : , ; }
37	1.7000	4	{ – : , ; }
38	1.8000	4	{ – : , ; }
39	1.9000	4	{ – : , ; }
40	   2.0	4	{ – : , ; }
41	2.1000	4	{ – : , ; }
42	   2.2	4	{ – : , ; }
43	   2.3	4	{ – : , ; }
44	2.4000	4	{ – : , ; }
45	   2.5	5	{ – — : , ; }
46	2.6000	5	{ – : " , ; }
47	   2.7	5	{ – : " , ; }
48	2.8000	5	{ – : " , ; }
49	2.9000	6	{ – — : " , ; }
50	   3.0	5	{ : ! " , ; }
51	3.1000	6	{ – : what " , ; }
52	   3.2	7	{ : ! " . ###LEFT-WALL### , ; }
53	3.3000	8	{ … : ! " . ###LEFT-WALL### , ; }
54	3.4000	8	{ … : ! " . ###LEFT-WALL### , ; }
55	   3.5	9	{ ... … : ! " . ###LEFT-WALL### , ; }
56	3.6000	10	{ ... … ] : ! " . ###LEFT-WALL### , ; }
57	   3.7	11	{ – ... … ] : ! " . ###LEFT-WALL### , ; }
58	3.8000	12	{ – ... … ] : ! _ " . ###LEFT-WALL### , ; }
59	3.9000	13	{ – ... ] — : ! _ " ” . ###LEFT-WALL### , ; }
60	   4.0	13	{ – ... ] — : ! _ " ” . ###LEFT-WALL### , ; }
61	4.1000	14	{ – ... … ] — : ! _ " ” . ###LEFT-WALL### , ; }
62	   4.2	16	{ – ... … ' ] — : ! ? _ " ” . ###LEFT-WALL### , ; }
63	4.3000	16	{ – ... … ' ] — : ! ? _ " ” . ###LEFT-WALL### , ; }
64	   4.4	17	{ – ... … ] — : ! ? _ " but ” of . ###LEFT-WALL### , ; }
65	   4.5	17	{ – ... … ] — : ! ? _ " but ” of . ###LEFT-WALL### , ; }
66	4.6000	18	{ – ... … ' ] — : ! ? _ " but ” of . ###LEFT-WALL### , ; }
67	   4.7	19	{ – ... … ' ] — ) : ! ? _ " but ” of . ###LEFT-WALL### , ; }
68	4.8000	107	{ showed Miss leaving declared thou it's speaking built generally explained offered except discovered scarcely kissed consider pressed remained decided further beyond getting filled knowing believed thank that’s carry wrote struck holding seeing save Sir covered gives trying finally giving standing turning sometimes note threw whatever suddenly pay makes none sitting neither nearly thus became thinking although especially whose certainly it’s laid nor either near making taking probably till followed bring rather among placed within saying whether almost until perhaps between during since why without whom under while through because such though where just upon before — than like or but as ” of . ###LEFT-WALL### , ; }
69	   4.9	101	{ showed Miss leaving declared thou it's speaking built generally explained offered except add discovered scarcely kissed consider pressed remained decided further beyond getting filled knowing believed thank that’s carry wrote struck holding seeing save Sir covered gives trying finally waiting giving standing turning sometimes note threw whatever suddenly pay makes none sitting neither nearly thus thinking although especially certainly it’s nor either near making taking till followed bring among placed within saying whether until between quite during since why called under while through because where just upon before — than like : or but as ” of . ###LEFT-WALL### , ; }
70	   5.0	21	{ – else … ' ] before — like : ! ? _ " but as ” of . ###LEFT-WALL### , ; }
71	5.1000	130	{ showed Miss lifted leaving pushed declared thou it's mentioned speaking built generally explained offered except broke add discovered scarcely kissed consider presented sit pressed remained decided further beyond getting filled knowing believed thank that’s carry wrote struck holding seeing save Sir covered gives trying finally waiting giving standing turning sometimes note threw whatever suddenly considered I'm appeared pay send makes none sitting neither nearly thus became thinking although especially whose certainly it’s continued laid nor either near lay making taking $ probably till followed bring rather carried among placed above within saying whether almost indeed until between quite during since why called under while because where just upon before — say than like about now : or when what all _ " but as ” of . ###LEFT-WALL### , ; }
