#
# Initial 2-clique: in <<>> of
#
# Tightness =    0.7
# This is using plain MI NOT common-MI
#
# idx	epsilon	size	words
0	  -2.0	2	{ in of }
1	  -1.9	2	{ in of }
2	  -1.8	2	{ in of }
3	  -1.7	2	{ in of }
4	  -1.6	2	{ in of }
5	  -1.5	2	{ in of }
6	  -1.4	2	{ in of }
7	-1.300	2	{ in of }
8	  -1.2	2	{ in of }
9	  -1.1	3	{ into in of }
10	  -1.0	3	{ into in of }
11	-0.900	3	{ into in of }
12	-0.800	3	{ into in of }
13	  -0.7	3	{ into in of }
14	-0.600	3	{ into in of }
15	  -0.5	3	{ into in of }
16	-0.400	3	{ into in of }
17	-0.300	3	{ into in of }
18	-0.200	3	{ into in of }
19	-0.100	3	{ into in of }
20	   0.0	5	{ against upon into in of }
21	0.1000	5	{ against upon into in of }
22	0.2000	5	{ against upon into in of }
23	0.3000	8	{ toward towards against through upon into in of }
24	0.4000	9	{ toward towards against through upon into from in of }
25	   0.5	10	{ toward towards among against through upon into from in of }
26	0.6000	10	{ toward towards among against through upon into from in of }
27	0.7000	10	{ toward towards among against through upon into from in of }
28	0.8000	10	{ toward towards among against through upon into from in of }
29	0.9000	10	{ toward towards against during through upon into from in of }
30	   1.0	12	{ toward towards against during through upon into from by at in of }
31	   1.1	13	{ toward towards between against during through upon into from by at in of }
32	1.2000	14	{ toward towards among between against during through upon into from by at in of }
33	1.3000	16	{ toward towards among within against under through upon into from by at on to in of }
34	1.4000	16	{ toward towards among within against under through upon into from by at on to in of }
35	   1.5	16	{ toward towards among within against under through upon into from by at on to in of }
36	   1.6	18	{ toward towards among within against during under through upon into from by with at on to in of }
37	1.7000	21	{ toward towards among within behind between against during under through upon into from by with at on for to in of }
38	1.8000	23	{ beyond toward towards among above within behind between against during under through upon into from by with at on for to in of }
39	1.9000	24	{ beyond toward towards among above within behind between against during under through upon about into from by with at on for to in of }
40	   2.0	24	{ beyond toward towards among above within behind between against during under through upon about into from by with at on for to in of }
41	2.1000	24	{ beyond toward towards among above within behind between against during under through upon about into from by with at on for to in of }
42	   2.2	24	{ beyond toward towards among above within behind between against during under through upon about into from by with at on for to in of }
43	   2.3	24	{ beyond toward towards among above within behind between against during under through upon about into from by with at on for to in of }
44	2.4000	27	{ beyond toward towards near among above within behind between against during under through upon than about into or from by with at on for to in of }
45	   2.5	28	{ beyond toward towards near among above within behind between against during under through upon than like about into or from by with at on for to in of }
46	2.6000	28	{ beyond toward towards near among above within behind between against during under through upon than like about into or from by with at on for to in of }
47	   2.7	31	{ beyond toward towards near among above within behind between against during under through upon before than like about into or when from by with at on for to and in of }
48	2.8000	32	{ beyond toward save towards near among above within behind between against during under through upon before than like about into or when from by with at on for to and in of }
49	2.9000	33	{ kill beyond toward save towards near among above within behind between against during under through upon before than like about into or when from by with at on for to and in of }
50	   3.0	37	{ beyond toward save towards nor near till among above within along behind between against during under through upon before than like about into or when from by all but with at on for to and in of }
51	3.1000	38	{ beyond toward save towards nor near till among above within along behind between against during since under through upon before than like about into or when from by all but with at on for to and in of }
52	   3.2	39	{ leaving beyond knowing save towards nor till among above within until between against during since under while through upon before than like about into or when from by so all but with at on for to and in of }
53	3.3000	89	{ showed Miss leaving declared thou it's generally scarcely beyond getting knowing thank that’s holding seeing save gives trying finally giving turning sometimes threw whatever suddenly none neither nearly thus although especially whose certainly it’s nor making taking probably till rather among often within saying whether having almost indeed until perhaps therefore during looking since why without every under while yet because such though where even upon how after before than like or when what from by if so all but with at on for as to and in of }
54	3.4000	97	{ showed Miss leaving declared thou it's speaking generally scarcely beyond getting knowing thank that’s holding seeing save covered gives trying finally giving turning sometimes threw whatever suddenly I'm none neither nearly thus although especially whose certainly it’s nor making taking probably till rather among often within saying whether having almost indeed until perhaps therefore during looking since why without every being under let while yet because also still such though where even just upon how after before than like or when what from by if so all but with at on for as to and in of }
55	   3.5	107	{ showed Miss leaving declared thou it's speaking built generally except scarcely beyond getting knowing thank that’s holding seeing save Sir covered gives trying finally giving turning sometimes threw whatever suddenly I'm none neither nearly thus became although especially whose certainly it’s Mrs nor making taking probably till rather among often within saying whether having almost indeed until perhaps both therefore during looking since each why without every whom being under let while yet because also still such though where even just how after before than like then who or when from by are if so all which but with at on for as to and in of }
56	3.6000	122	{ showed Miss leaving declared thou it's speaking built generally except scarcely remained beyond getting knowing thank that’s holding seeing save Sir covered gives trying finally giving standing turning sometimes threw whatever suddenly I'm none neither nearly thus became thinking although especially whose certainly it’s Mrs nor either making taking probably till followed rather among often within began saying whether having almost indeed until perhaps both therefore quite during looking since each why without every whom being under let while yet because also still put such though where its even just how after before than like only then an who or when what no my from by are if so all which but with at on for as that to and in of }
57	   3.7	129	{ showed Miss leaving declared thou it's speaking built generally except scarcely remained beyond getting filled knowing thank that’s holding seeing save Sir covered gives trying finally giving standing turning sometimes threw whatever suddenly I'm makes none neither nearly thus became thinking although especially whose certainly it’s Mrs laid nor either making taking probably till followed rather among often within began saying whether having almost indeed until perhaps both therefore quite during looking since set each why gave without always every whom being under let while yet because also still put such though where its even just how after before than like only then an who or when what no my from there by are if so all which but with at on for as that to and in of }
