#
# Initial 2-clique: is <<>> was
#
# Tightness =    0.7
# This is using plain MI NOT common-MI
#
# idx	epsilon	size	words
0	  -2.0	2	{ is was }
1	  -1.9	2	{ is was }
2	  -1.8	2	{ is was }
3	  -1.7	2	{ is was }
4	  -1.6	2	{ is was }
5	  -1.5	2	{ is was }
6	  -1.4	2	{ is was }
7	-1.300	2	{ is was }
8	  -1.2	2	{ is was }
9	  -1.1	2	{ is was }
10	  -1.0	2	{ is was }
11	-0.900	2	{ is was }
12	-0.800	2	{ is was }
13	  -0.7	2	{ is was }
14	-0.600	2	{ is was }
15	  -0.5	2	{ is was }
16	-0.400	2	{ is was }
17	-0.300	2	{ is was }
18	-0.200	2	{ is was }
19	-0.100	3	{ wasn’t is was }
20	   0.0	4	{ wasn’t wasn't is was }
21	0.1000	7	{ isn’t wasn’t wasn't seems seemed is was }
22	0.2000	8	{ isn’t appears wasn’t wasn't seems seemed is was }
23	0.3000	10	{ doesn’t takes isn’t appears wasn’t wasn't seems seemed is was }
24	0.4000	10	{ doesn’t takes isn’t appears wasn’t wasn't seems seemed is was }
25	   0.5	11	{ doesn’t takes isn’t appears makes wasn’t wasn't seems seemed is was }
26	0.6000	13	{ doesn’t takes isn’t couldn't appears makes wasn’t wasn't didn't didn’t seemed is was }
27	0.7000	13	{ doesn’t takes hath looks couldn't wasn’t wasn't didn't didn’t seemed does is was }
28	0.8000	16	{ doesn’t takes wouldn’t hath couldn't couldn’t wasn’t wasn't didn't didn’t seemed does might has is was }
29	0.9000	20	{ doesn’t takes leaned glanced wouldn’t hath couldn't needed couldn’t makes wasn’t wasn't didn't didn’t seemed does might has is was }
30	   1.0	22	{ doesn’t takes leaned glanced wouldn’t hath looks couldn't needed couldn’t makes wasn’t wasn't didn't wanted didn’t seemed does might has is was }
31	   1.1	23	{ doesn’t takes leaned glanced wouldn’t hath couldn't needed wished couldn’t makes wasn’t wasn't didn't wanted didn’t seemed does might looked has is was }
32	1.2000	26	{ doesn’t takes leaned glanced wouldn’t hath looks couldn't needed wished couldn’t makes pulled wasn’t wasn't didn't wanted didn’t seemed does might may should has is was }
33	1.3000	25	{ doesn’t takes isn’t wouldn’t hath couldn't needed couldn’t makes wasn’t wasn't didn't didn’t seemed does shall might must may should has could would is was }
34	1.4000	28	{ doesn’t takes isn’t wouldn’t hath couldn't needed wished couldn’t makes meant wasn’t wasn't didn't wanted didn’t seemed does shall might must may should has could would is was }
