#
# Initial 2-clique: . <<>> ?
#
# Tightness =    0.7
# This is using plain MI NOT common-MI
#
# idx	epsilon	size	words
0	  -2.0	2	{ . ? }
1	  -1.9	2	{ . ? }
2	  -1.8	2	{ . ? }
3	  -1.7	2	{ . ? }
4	  -1.6	2	{ . ? }
5	  -1.5	2	{ . ? }
6	  -1.4	2	{ . ? }
7	-1.300	2	{ . ? }
8	  -1.2	2	{ . ? }
9	  -1.1	2	{ . ? }
10	  -1.0	2	{ . ? }
11	-0.900	2	{ . ? }
12	-0.800	2	{ . ? }
13	  -0.7	2	{ . ? }
14	-0.600	2	{ . ? }
15	  -0.5	2	{ . ? }
16	-0.400	2	{ . ? }
17	-0.300	2	{ . ? }
18	-0.200	2	{ . ? }
19	-0.100	2	{ . ? }
20	   0.0	2	{ . ? }
21	0.1000	2	{ . ? }
22	0.2000	2	{ . ? }
23	0.3000	2	{ . ? }
24	0.4000	2	{ . ? }
25	   0.5	2	{ . ? }
26	0.6000	4	{ ... ! . ? }
27	0.7000	4	{ ... ! . ? }
28	0.8000	4	{ ... ! . ? }
29	0.9000	4	{ ... ! . ? }
30	   1.0	4	{ ... ! . ? }
31	   1.1	4	{ ... ! . ? }
32	1.2000	4	{ ... ! . ? }
33	1.3000	4	{ ... ! . ? }
34	1.4000	4	{ ... ! . ? }
35	   1.5	4	{ ... ! . ? }
36	   1.6	4	{ ... ! . ? }
37	1.7000	4	{ ... ! . ? }
38	1.8000	4	{ ... ! . ? }
39	1.9000	4	{ ... ! . ? }
40	   2.0	4	{ ... ! . ? }
41	2.1000	4	{ ... ! . ? }
42	   2.2	4	{ ... ! . ? }
43	   2.3	4	{ ... ! . ? }
44	2.4000	4	{ ... ! . ? }
45	   2.5	4	{ ... ! . ? }
46	2.6000	4	{ ... ! . ? }
47	   2.7	4	{ ... ! . ? }
48	2.8000	4	{ ... ! . ? }
49	2.9000	5	{ ... : ! . ? }
50	   3.0	5	{ ... : ! . ? }
51	3.1000	5	{ ... : ! . ? }
52	   3.2	5	{ ... : ! . ? }
53	3.3000	5	{ ... : ! . ? }
54	3.4000	5	{ ... : ! . ? }
55	   3.5	5	{ ... : ! . ? }
56	3.6000	5	{ ... : ! . ? }
57	   3.7	5	{ ... : ! . ? }
58	3.8000	5	{ ... : ! . ? }
59	3.9000	5	{ ... : ! . ? }
60	   4.0	7	{ : ! " ###LEFT-WALL### , . ? }
61	4.1000	8	{ … : ! " ###LEFT-WALL### , . ? }
62	   4.2	8	{ … : ! " ###LEFT-WALL### , . ? }
63	4.3000	9	{ ... … : ! " ###LEFT-WALL### , . ? }
64	   4.4	10	{ ... … : ! " ; ###LEFT-WALL### , . ? }
65	   4.5	11	{ ... … ] : ! " ; ###LEFT-WALL### , . ? }
66	4.6000	11	{ ... … ] : ! " ; ###LEFT-WALL### , . ? }
67	   4.7	14	{ – ... … ] — : ! _ " ; ###LEFT-WALL### , . ? }
68	4.8000	14	{ – ... … ] — : ! _ " ; ###LEFT-WALL### , . ? }
69	   4.9	14	{ – ... … ] — : ! _ " ; ###LEFT-WALL### , . ? }
70	   5.0	15	{ – ... else … ] — : ! _ " ; ###LEFT-WALL### , . ? }
71	5.1000	16	{ – ... … ' ] — : ! _ " ; ” ###LEFT-WALL### , . ? }
72	   5.2	16	{ – ... … ' ] — : ! _ " ; ” ###LEFT-WALL### , . ? }
73	5.3000	16	{ – ... … ' ] — : ! _ " ; ” ###LEFT-WALL### , . ? }
74	   5.4	16	{ – ... … ' ] — : ! _ " ; ” ###LEFT-WALL### , . ? }
75	   5.5	19	{ – ... ago else … ' ] — ) : ! _ " ; ” ###LEFT-WALL### , . ? }
76	5.6000	24	{ write fellow please longer yes ago else … thing ' ] before — ) : ! _ " ; ” ###LEFT-WALL### , . ? }
77	   5.7	21	{ – ... ago else … dear ' ] — ) : ! ’ _ " ; ” ###LEFT-WALL### , . ? }
78	5.8000	29	{ forgotten mine write fellow please longer everything yes ago else … dear thing ' ] — ) like : ! ’ _ " ; ” ###LEFT-WALL### , . ? }
79	   5.9	108	{ promise dream lot changed learn nice eat America forgotten kill worse mine fault fight fair gentleman spoken news weeks hurt pleased silent dollars write walk die born fellow shut happen guess strange tears wonder married yourself surprised thee wait please stay minute loved comes lived stop trouble week free silence miles started 9 won’t died meet sleep thinking 11 longer knows happy lady fine afraid everything ready wrong easy yes sorry sir try glad ... remember impossible suppose alone ago else … doing possible hope doubt dear mean anything thing ' ] before — ) say like : ! ’ _ " ; ” ###LEFT-WALL### , . ? }
