#
# Initial 2-clique: It <<>> There
#
# Tightness =    0.7
# This is using common-MI to determine in-group membership.
#
# idx	epsilon	size	min-index	max-index	words
0	   0.0	2	43	99	{ It There }
1	   0.1	2	43	99	{ It There }
2	   0.2	2	43	99	{ It There }
3	0.3000	2	43	99	{ It There }
4	   0.4	2	43	99	{ It There }
5	   0.5	2	43	99	{ It There }
6	0.6000	2	43	99	{ It There }
7	0.7000	2	43	99	{ It There }
8	   0.8	2	43	99	{ It There }
9	   0.9	2	43	99	{ It There }
10	   1.0	4	43	102	{ She He It There }
11	   1.1	4	43	102	{ She He It There }
12	1.2000	4	43	102	{ She He It There }
13	   1.3	4	43	102	{ She He It There }
14	1.4000	4	43	102	{ She He It There }
15	   1.5	4	43	102	{ She He It There }
16	   1.6	4	43	102	{ She He It There }
17	1.7000	5	43	162	{ This She He It There }
18	   1.8	6	43	162	{ This She The He It There }
19	1.9000	7	43	162	{ This You She The He It There }
20	   2.0	7	43	162	{ This You She The He It There }
21	   2.1	10	8	260	{ That This You What She The He I It There }
22	   2.2	11	8	166	{ We This They You What She The He I It There }
23	2.3000	13	8	219	{ Yes We This They You What She And The He I It There }
24	2.4000	19	8	545	{ It’s How Why Well Yes Oh If We This You What She And But The He I It There }
25	   2.5	20	8	333	{ Do How That Why Well Yes Oh We This They You What She And But The He I It There }
26	   2.6	21	8	545	{ It’s How That Why Well Yes Oh We This They No You What She And But The He I It There }
27	   2.7	24	8	545	{ It’s Do How That Why Well Yes Oh If We This They No A You What She And But The He I It There }
28	2.8000	24	8	545	{ It’s Do How That Why Well Yes Oh If We This They No A You What She And But The He I It There }
29	2.9000	26	8	646	{ That’s It’s Is Do How That Why Well Yes Oh If We This They No A You What She And But The He I It There }
30	   3.0	28	8	646	{ That’s It’s Is Do How That Why Well Then Yes Oh If We This They No A You In What She And But The He I It There }
31	   3.1	30	8	762	{ Don’t That’s It’s Is Do How So That Why Well Then Yes Oh If We This They No A You In What She And But The He I It There }
32	   3.2	32	8	762	{ Don’t That’s It’s Not Is Do Now How So That Why Well Then Yes Oh If We This They No A You In What She And But The He I It There }
33	3.3000	33	8	762	{ Don’t That’s It’s Ah Not Is Do Now How So That Why Well Then Yes Oh If We This They No A You In What She And But The He I It There }
34	3.4000	36	8	762	{ Don’t Are That’s Good It’s Ah Not Is Do Now How So That Why Well Then Yes Oh If We This They No A You What She And But there The He it I It There }
35	   3.5	40	8	762	{ Don’t Are That’s Who Good It’s Where Ah Not Is I’m Do My Now How So That Why Well Then Yes Oh If We This They No A You What She And But there The He it I It There }
36	   3.6	45	8	762	{ Don’t Did Are That’s Who Good Come It’s Where Ah Not All Is To I’m Do My Now How So That Why Well Then Yes Oh If We This They No A You In What She And But there The He it I It There }
37	   3.7	48	8	1046	{ What’s Don’t Did Are That’s Who Let Good Come It’s Where Ah Not All Is To I’m Do My Now How So That Why Well Then When Yes Oh If We This They No A You In What She And But there The He it I It There }
38	3.8000	49	8	1046	{ What’s Have Don’t Did Are That’s Who Let Good Come It’s Where Ah Not All Is To I’m Do My Now How So That Why Well Then When Yes Oh If We This They No A You In What She And But there The He it I It There }
39	3.9000	50	8	1046	{ What’s Have Don’t Did Are That’s Who Let Good Come It’s Where Ah Not All Is To I’m Do My Now How For So That Why Well Then When Yes Oh If We This They No A You In What She And But there The He it I It There }
40	   4.0	54	8	1107	{ Your What’s Have Just Don’t Did Are That’s Who Let Good Come It’s Where Ah Not All Is To I’m Do His My Now How For So That Why Well As Then When Yes Oh If We This They No A You In What She And But there The He it I It There }
41	4.1000	57	8	1107	{ Your What’s Have Just Don’t Did Are That’s Who Let Good Of Come It’s I’ll Where Ah Not All Is To I’m Do His My Now How For So That Why Well At As Then When Yes Oh If We This They No A You In What She And But there The He it I It There }
42	   4.2	61	8	1107	{ Your What’s Have An Just Yeah Don’t Did Are That’s Who Let Good Of Here Come It’s I’ll Where Ah Not All Is To I’m Do His My Now On How For So That Why Well At As Then When Yes Oh If We This They No A You In What She And But there The He it I It There }
43	   4.3	63	8	1107	{ Your What’s Look Have An Just Yeah Don’t Did Are That’s Who Let Good Of Here Come It’s I’ll Where Ah Not One All Is To I’m Do His My Now On How For So That Why Well At As Then When Yes Oh If We This They No A You In What She And But there The He it I It There }
44	   4.4	65	8	1107	{ Your What’s Look Have An Just Yeah I’ve Don’t Did Are That’s Who Let By Good Of Here Come It’s I’ll Where Ah Not One All Is To I’m Do His My Now On How For So That Why Well At As Then When Yes Oh If We This They No A You In What She And But there The He it I It There }
45	   4.5	70	8	1107	{ Your Thank What’s Look Very Have An Perhaps Just Yeah I’ve Don’t Did Are With That’s Who Let By Good Of Here Come It’s I’ll Where Ah Not One All Is To I’m Do His My Now On How For So That Mr Why Well At As Then When Yes Oh If We This They No A You In What She And But there The He it I It There }
46	4.6000	71	8	1107	{ Your Thank What’s Look Very Have An Perhaps Just Yeah I’ve Don’t Did Are With That’s Who Let By Good Of Here Come It’s I’ll Where Ah After Not One All Is To I’m Do His My Now On How For So That Mr Why Well At As Then When Yes Oh If We This They No A You In What She And But there The He it I It There }
47	   4.7	73	8	1107	{ Your Will Thank What’s Look Very Have An Perhaps Just These Yeah I’ve Don’t Did Are With That’s Who Let By Good Of Here Come It’s I’ll Where Ah After Not One All Is To I’m Do His My Now On How For So That Mr Why Well At As Then When Yes Oh If We This They No A You In What She And But there The He it I It There }
48	4.8000	74	8	1107	{ Your Will Go Thank What’s Look Very Have An Perhaps Just These Yeah I’ve Don’t Did Are With That’s Who Let By Good Of Here Come It’s I’ll Where Ah After Not One All Is To I’m Do His My Now On How For So That Mr Why Well At As Then When Yes Oh If We This They No A You In What She And But there The He it I It There }
