#
# Initial 2-clique: and <<>> but
#
# Tightness =    0.7
# This is using common-MI to determine in-group membership.
#
# idx	epsilon	size	min-index	max-index	words
0	   0.0	2	5	28	{ and but }
1	   0.1	2	5	28	{ and but }
2	   0.2	2	5	28	{ and but }
3	0.3000	2	5	28	{ and but }
4	   0.4	2	5	28	{ and but }
5	   0.5	2	5	28	{ and but }
6	0.6000	2	5	28	{ and but }
7	0.7000	2	5	28	{ and but }
8	   0.8	2	5	28	{ and but }
9	   0.9	2	5	28	{ and but }
10	   1.0	2	5	28	{ and but }
11	   1.1	2	5	28	{ and but }
12	1.2000	2	5	28	{ and but }
13	   1.3	2	5	28	{ and but }
14	1.4000	2	5	28	{ and but }
15	   1.5	2	5	28	{ and but }
16	   1.6	3	5	28	{ as and but }
17	1.7000	3	5	28	{ as and but }
18	   1.8	3	5	28	{ as and but }
19	1.9000	4	5	28	{ for as and but }
20	   2.0	4	5	28	{ for as and but }
21	   2.1	4	5	28	{ for as and but }
22	   2.2	4	5	28	{ as that and but }
23	2.3000	4	5	28	{ as that and but }
24	2.4000	4	5	28	{ as that and but }
25	   2.5	5	5	28	{ for as that and but }
26	   2.6	5	5	28	{ for as that and but }
27	   2.7	5	5	28	{ for as that and but }
28	2.8000	5	5	28	{ for as that and but }
29	2.9000	7	5	68	{ when so for as that and but }
30	   3.0	7	5	68	{ when so for as that and but }
31	   3.1	8	5	68	{ when so for as ” that and but }
32	   3.2	9	5	68	{ when if so for as ” that and but }
33	3.3000	9	5	68	{ when if so for as ” that and but }
34	3.4000	10	5	68	{ when if so which for as ” that and but }
35	   3.5	10	5	68	{ when if so which for as ” that and but }
36	   3.6	5	0	28	{ ” that , and but }
37	   3.7	13	0	83	{ then when if so with for as that in of , and but }
38	3.8000	12	0	68	{ when if so with for that in to of , and but }
39	3.9000	13	0	68	{ when if so with for as that in to of , and but }
40	   4.0	14	0	68	{ when if so which with for as that in to of , and but }
41	4.1000	14	0	68	{ when if so which with for as that in to of , and but }
42	   4.2	15	0	68	{ when if so which with on for as that in to of , and but }
43	   4.3	16	0	68	{ when from by which with at on for as that in to of , and but }
44	   4.4	16	0	68	{ when from by which with at on for as that in to of , and but }
45	   4.5	17	0	68	{ when from by so which with on for as not that in to of , and but }
46	4.6000	17	0	68	{ when from by all with at on for as not that in to of , and but }
47	   4.7	20	0	83	{ then when from by if all with at on for as not is that in to of , and but }
48	4.8000	21	0	83	{ then when from by if so all with at on for as not is that in to of , and but }
49	   4.9	26	0	231	{ yet even after then when by if so all she which with at on for as not is that he in to of , and but }
50	   5.0	24	0	145	{ after then when by if so all which with at on for as not is that was he in to of , and but }
51	5.1000	30	0	232	{ while yet even after then when by if so we all they which with at on for as not is it that was he in to of , and but }
52	   5.2	38	0	383	{ perhaps therefore while yet though where even how after then who when what by if so we all they she which with at on for as not is it that was he in to of , and but }
53	5.3000	43	0	383	{ perhaps therefore while yet though where even how after then who when what there by if so we all they said she which with at on for as not you is it that was he in a to of the , and but }
54	   5.4	46	0	415	{ having perhaps therefore while yet also though where even how after then who when what from there by if so we all they said she which with at on for as not you is it that was he in a to of the , and but }
55	   5.5	51	0	715	{ thus especially having perhaps therefore without while yet also though where even how after then who when what no from there by are if so we all they said she which with at on for as not you is it that was he in a to of the , and but }
56	5.6000	56	0	830	{ sometimes thus especially whose having perhaps therefore without while yet because also though where even how after only then who when what no from there by are if so we all they said she which with at on for as not you is it that was he in I a to of the , and but }
57	   5.7	54	0	687	{ especially having perhaps therefore without while yet because also though where even how after only then who when what no from there by are if so we all they said she which with at on for had as not you is it that was he in I a to of the , and but }
58	5.8000	57	0	715	{ thus especially whose having perhaps therefore without while yet because also though where even how after now only then who when what no from there by are if so we all they said she which with at on for had as not you is it that was he in I a to of the , and but }
59	   5.9	60	0	715	{ thus especially whose having indeed perhaps therefore without let while yet because also though where even how after now only then who when what no from there by are if so we all _ they said she which with at on for had as not you is it that was he in I a to of the , and but }
60	   6.0	58	0	715	{ thus especially perhaps therefore without while yet because also though where even how after now only then who when what no from there by are if so we all _ they said she which with at on for had as not you ” “ is it that was he in I to of ###LEFT-WALL### the , and but }
61	6.1000	63	0	830	{ sometimes thus especially whose having perhaps therefore without let while yet because also though where even how after before now only then who when what no from there by are if so we all _ they said she which with at on for had as not you ” “ is it that was he in I to of ###LEFT-WALL### the , and but }
62	   6.2	64	0	830	{ sometimes especially having perhaps therefore without while yet because also still though where even just how after before like now only then who when what no from there by are if so we all _ they said she which with at on for had as not you ” “ is it that was he in I a to of ###LEFT-WALL### the , and but }
