#
# Initial 2-clique: , <<>> ;
#
# Tightness =    0.7
# This is using common-MI to determine in-group membership.
#
# idx	epsilon	size	min-index	max-index	words
0	   0.0	2	0	29	{ , ; }
1	   0.1	2	0	29	{ , ; }
2	   0.2	2	0	29	{ , ; }
3	0.3000	2	0	29	{ , ; }
4	   0.4	2	0	29	{ , ; }
5	   0.5	2	0	29	{ , ; }
6	0.6000	2	0	29	{ , ; }
7	0.7000	2	0	29	{ , ; }
8	   0.8	2	0	29	{ , ; }
9	   0.9	2	0	29	{ , ; }
10	   1.0	2	0	29	{ , ; }
11	   1.1	2	0	29	{ , ; }
12	1.2000	2	0	29	{ , ; }
13	   1.3	2	0	29	{ , ; }
14	1.4000	2	0	29	{ , ; }
15	   1.5	2	0	29	{ , ; }
16	   1.6	2	0	29	{ , ; }
17	1.7000	2	0	29	{ , ; }
18	   1.8	2	0	29	{ , ; }
19	1.9000	2	0	29	{ , ; }
20	   2.0	2	0	29	{ , ; }
21	   2.1	2	0	29	{ , ; }
22	   2.2	2	0	29	{ , ; }
23	2.3000	2	0	29	{ , ; }
24	2.4000	2	0	29	{ , ; }
25	   2.5	2	0	29	{ , ; }
26	   2.6	2	0	29	{ , ; }
27	   2.7	2	0	29	{ , ; }
28	2.8000	2	0	29	{ , ; }
29	2.9000	2	0	29	{ , ; }
30	   3.0	2	0	29	{ , ; }
31	   3.1	5	0	32	{ " . ###LEFT-WALL### , ; }
32	   3.2	5	0	32	{ " . ###LEFT-WALL### , ; }
33	3.3000	5	0	32	{ " . ###LEFT-WALL### , ; }
34	3.4000	5	0	32	{ " . ###LEFT-WALL### , ; }
35	   3.5	6	0	80	{ : " . ###LEFT-WALL### , ; }
36	   3.6	6	0	80	{ : " . ###LEFT-WALL### , ; }
37	   3.7	6	0	80	{ : " . ###LEFT-WALL### , ; }
38	3.8000	6	0	80	{ : " . ###LEFT-WALL### , ; }
39	3.9000	6	0	80	{ : " . ###LEFT-WALL### , ; }
40	   4.0	6	0	80	{ : " . ###LEFT-WALL### , ; }
41	4.1000	6	0	80	{ : " . ###LEFT-WALL### , ; }
42	   4.2	6	0	80	{ : " . ###LEFT-WALL### , ; }
43	   4.3	6	0	80	{ : " . ###LEFT-WALL### , ; }
44	   4.4	8	0	80	{ : _ " ” . ###LEFT-WALL### , ; }
45	   4.5	8	0	80	{ : _ " ” . ###LEFT-WALL### , ; }
46	4.6000	9	0	80	{ : ! _ " ” . ###LEFT-WALL### , ; }
47	   4.7	9	0	80	{ : ! _ " ” . ###LEFT-WALL### , ; }
