#
# Initial 2-clique: in <<>> of
#
# Tightness =    0.7
# This is using common-MI to determine in-group membership.
#
# idx	epsilon	size	min-index	max-index	words
0	   0.0	2	4	9	{ in of }
1	   0.1	2	4	9	{ in of }
2	   0.2	2	4	9	{ in of }
3	0.3000	2	4	9	{ in of }
4	   0.4	2	4	9	{ in of }
5	   0.5	2	4	9	{ in of }
6	0.6000	2	4	9	{ in of }
7	0.7000	2	4	9	{ in of }
8	   0.8	2	4	9	{ in of }
9	   0.9	2	4	9	{ in of }
10	   1.0	3	4	81	{ into in of }
11	   1.1	3	4	81	{ into in of }
12	1.2000	3	4	81	{ into in of }
13	   1.3	3	4	81	{ into in of }
14	1.4000	4	4	81	{ into to in of }
15	   1.5	4	4	56	{ from to in of }
16	   1.6	4	4	56	{ from to in of }
17	1.7000	4	4	56	{ from to in of }
18	   1.8	5	4	56	{ from on to in of }
19	1.9000	6	4	56	{ from at on to in of }
20	   2.0	7	4	56	{ from at on for to in of }
21	   2.1	7	4	56	{ from at on for to in of }
22	   2.2	6	4	27	{ with for to and in of }
23	2.3000	8	4	56	{ from at on for to and in of }
24	2.4000	8	4	56	{ from at on for to and in of }
25	   2.5	9	4	56	{ from with at on for to and in of }
26	   2.6	9	4	56	{ from with at on for to and in of }
27	   2.7	9	4	56	{ from with at on for to and in of }
28	2.8000	9	4	56	{ from with at on for to and in of }
29	2.9000	10	4	56	{ from by with at on for to and in of }
30	   3.0	10	4	56	{ from by with at on for to and in of }
31	   3.1	10	4	56	{ from by with at on for to and in of }
32	   3.2	12	4	56	{ from by but with at on for that to and in of }
33	3.3000	13	4	56	{ from by but with at on for as that to and in of }
34	3.4000	13	4	56	{ from by with at on for as not that to and in of }
35	   3.5	14	4	68	{ when from by with at on for as not that to and in of }
36	   3.6	14	4	56	{ from by all with at on for as not that to and in of }
37	   3.7	16	0	68	{ when from by but with at on for as that to and . , in of }
38	3.8000	17	0	68	{ when from by all but with at on for as that to and . , in of }
39	3.9000	20	0	83	{ then when by if all but with at on for as not is that to and . , in of }
40	   4.0	21	0	83	{ then when from by if all but with at on for as not is that to and . , in of }
41	4.1000	22	0	83	{ then when from by if so all but with at on for as not is that to and . , in of }
42	   4.2	24	0	145	{ after then when from by if so all but with at on for as not is that was to and . , in of }
43	   4.3	27	0	231	{ yet even after then when by if so all which but with at on for as not is it that was to and . , in of }
44	   4.4	40	0	383	{ perhaps therefore while yet though where even how after then who when what there by if so we all they she which but with at on for as not is it that he a to and . , in of }
45	   4.5	46	0	415	{ having perhaps therefore while yet though where even how after then who when what from there by if so we all they said she which but with at on for as not you is it that was he I a to and the , in of }
46	4.6000	50	0	687	{ especially having perhaps therefore without while yet also though where even how after then who when what no from there by if so we all they said she which but with at on for as not you is it that was he I a to and the , in of }
47	   4.7	52	0	715	{ thus especially having perhaps therefore without while yet also though where even how after then who when what from there by are if so we all they said she which but with at on for had as not you is it that was he I a to and the , in of }
48	4.8000	54	0	687	{ especially having perhaps therefore without while yet because also though where even how after only then who when what no from there by are if so we all they said she which but with at on for had as not you is it that was he I a to and the , in of }
49	   4.9	56	0	715	{ thus especially having perhaps therefore without while yet because also though where even how after now only then who when what no from there by are if so we all they said she which but with at on for had as not you is it that was he I a to and the , in of }
50	   5.0	58	0	715	{ thus especially whose having perhaps therefore without while yet because also though where even how after now only then who when what no from there by are if so we all they said she which but with at on for had as not you his is it that was he I a to and the , in of }
51	5.1000	63	0	876	{ finally sometimes thus although especially whose having indeed perhaps therefore without let while yet because also though where even how after now only then who when what no from there by are if so we all they said she which but with at on for had as not you his is it that was he I a to and the , in of }
52	   5.2	63	0	830	{ sometimes thus especially whose having perhaps therefore without let while yet because also though where even just how after now only then who when what no from there by are if so we one all _ they said she which but with at on for had as not you his is it that was he I a to and the , in of }
53	5.3000	63	0	715	{ thus especially having perhaps therefore without let while yet also still though where even just how after like now only then who when what were no from there by are if so we all _ they said she which but with at on have for had as not you is it that was he I a to and . the , in of }
54	   5.4	66	0	830	{ sometimes thus although especially having perhaps therefore without let while yet also still though where even just how after like made now only then who when what were no from there by are if so we all _ they said she which but with at on have for had as not you is it that was he I a to and . the , in of }
55	   5.5	68	0	715	{ thus although especially having perhaps therefore without let while yet also though where even just how after like made now only then who when what will were no from there by are if so we one all this _ they said she which but with at on have be for had as not you is it that was he I a to and . the , in of }
56	5.6000	70	0	830	{ sometimes thus especially having perhaps therefore without let while yet also still though where even just how after like made now only then has who when what will were no from there by are if so we one all this _ they said she which but with at on have be for had as not you is it that was he I a to and . the , in of }
57	   5.7	75	0	830	{ sometimes thus especially whose having perhaps therefore since without let while yet because also still such though where even just how after before like made now only then who when what will were no from there by are if so we one all this _ they said she which but with at on have be for had as not you ” is it that was he I a to and . the , in of }
58	5.8000	80	0	830	{ sometimes thus especially whose having perhaps therefore since without let while yet because also still though where even just too how after before never like made now only then has who did when what will were no from there do by are if so we would one all this _ they said she which but with at on have be for had as not you ” is it that was he I a to and . the , in of }
59	   5.9	84	0	876	{ finally sometimes thus especially whose having perhaps therefore without let while yet because also still put found though where even just too how after before never like made now only then who did when what will were no my from there do by are if so we would one all this _ they said she which but with at on have be for had as not you his ” “ is it that was he I a to and . the , in of }
