#
# Initial 2-clique: is <<>> was
#
# Tightness =    0.7
# This is using common-MI to determine in-group membership.
#
# idx	epsilon	size	min-index	max-index	words
0	   0.0	2	11	14	{ is was }
1	   0.1	2	11	14	{ is was }
2	   0.2	2	11	14	{ is was }
3	0.3000	2	11	14	{ is was }
4	   0.4	2	11	14	{ is was }
5	   0.5	2	11	14	{ is was }
6	0.6000	2	11	14	{ is was }
7	0.7000	2	11	14	{ is was }
8	   0.8	2	11	14	{ is was }
9	   0.9	2	11	14	{ is was }
10	   1.0	2	11	14	{ is was }
11	   1.1	2	11	14	{ is was }
12	1.2000	2	11	14	{ is was }
13	   1.3	2	11	14	{ is was }
14	1.4000	2	11	14	{ is was }
15	   1.5	2	11	14	{ is was }
16	   1.6	2	11	14	{ is was }
17	1.7000	2	11	14	{ is was }
18	   1.8	2	11	14	{ is was }
19	1.9000	2	11	14	{ is was }
20	   2.0	2	11	14	{ is was }
21	   2.1	2	11	14	{ is was }
22	   2.2	2	11	14	{ is was }
23	2.3000	5	11	160	{ might could would is was }
24	2.4000	5	11	64	{ could would had is was }
25	   2.5	6	11	160	{ might could would had is was }
26	   2.6	7	11	160	{ might should could would had is was }
27	   2.7	9	11	160	{ might must may should could would had is was }
28	2.8000	10	11	160	{ might must may should will could would had is was }
29	2.9000	10	11	160	{ might must may should will could would had is was }
30	   3.0	10	11	160	{ might must may should will could would had is was }
31	   3.1	5	11	63	{ were would had is was }
32	   3.2	11	11	160	{ might must may should will could were would had is was }
33	3.3000	11	11	160	{ might must may should will could were would had is was }
34	3.4000	11	11	160	{ might must may should will could were would had is was }
35	   3.5	9	11	160	{ might has will could were would had is was }
36	   3.6	12	11	160	{ might must may should has will could were would had is was }
37	   3.7	12	11	160	{ might must may should did will could would have had is was }
38	3.8000	12	11	160	{ might must may should will could were would have had is was }
39	3.9000	8	11	64	{ could were are would have had is was }
40	   4.0	8	11	64	{ could were are would have had is was }
41	4.1000	10	11	160	{ might has could were are would have had is was }
42	   4.2	10	11	79	{ has did could were are would have had is was }
43	   4.3	12	11	160	{ might should has did could were are would have had is was }
44	   4.4	16	11	192	{ shall might must may should has did will could were are would have had is was }
45	   4.5	18	11	335	{ cannot shall might must may should can has did will could were are would have had is was }
