#
# Initial 2-clique: . <<>> ?
#
# Tightness =    0.7
# This is using common-MI to determine in-group membership.
#
# idx	epsilon	size	min-index	max-index	words
0	   0.0	2	3	40	{ . ? }
1	   0.1	2	3	40	{ . ? }
2	   0.2	2	3	40	{ . ? }
3	0.3000	2	3	40	{ . ? }
4	   0.4	2	3	40	{ . ? }
5	   0.5	2	3	40	{ . ? }
6	0.6000	2	3	40	{ . ? }
7	0.7000	2	3	40	{ . ? }
8	   0.8	2	3	40	{ . ? }
9	   0.9	3	3	72	{ ! . ? }
10	   1.0	3	3	72	{ ! . ? }
11	   1.1	3	3	72	{ ! . ? }
12	1.2000	3	3	72	{ ! . ? }
13	   1.3	3	3	72	{ ! . ? }
14	1.4000	3	3	72	{ ! . ? }
15	   1.5	3	3	72	{ ! . ? }
16	   1.6	3	3	72	{ ! . ? }
17	1.7000	3	3	72	{ ! . ? }
18	   1.8	3	3	72	{ ! . ? }
19	1.9000	3	3	72	{ ! . ? }
20	   2.0	3	3	72	{ ! . ? }
21	   2.1	3	3	72	{ ! . ? }
22	   2.2	3	3	72	{ ! . ? }
23	2.3000	3	3	72	{ ! . ? }
24	2.4000	3	3	72	{ ! . ? }
25	   2.5	3	3	72	{ ! . ? }
26	   2.6	3	3	72	{ ! . ? }
27	   2.7	3	3	72	{ ! . ? }
28	2.8000	3	3	72	{ ! . ? }
29	2.9000	3	3	72	{ ! . ? }
30	   3.0	3	3	72	{ ! . ? }
31	   3.1	3	3	72	{ ! . ? }
32	   3.2	3	3	72	{ ! . ? }
33	3.3000	6	0	72	{ ! " ###LEFT-WALL### , . ? }
34	3.4000	6	0	72	{ ! " ###LEFT-WALL### , . ? }
35	   3.5	6	0	72	{ ! " ###LEFT-WALL### , . ? }
36	   3.6	6	0	72	{ ! " ###LEFT-WALL### , . ? }
37	   3.7	6	0	72	{ ! " ###LEFT-WALL### , . ? }
38	3.8000	6	0	72	{ ! " ###LEFT-WALL### , . ? }
39	3.9000	7	0	80	{ : ! " ###LEFT-WALL### , . ? }
40	   4.0	7	0	80	{ : ! " ###LEFT-WALL### , . ? }
41	4.1000	8	0	80	{ : ! " ; ###LEFT-WALL### , . ? }
42	   4.2	9	0	80	{ : ! _ " ” ###LEFT-WALL### , . ? }
43	   4.3	9	0	80	{ : ! _ " ” ###LEFT-WALL### , . ? }
44	   4.4	9	0	80	{ : ! _ " ” ###LEFT-WALL### , . ? }
45	   4.5	9	0	80	{ : ! " ; ” ###LEFT-WALL### , . ? }
46	4.6000	9	0	80	{ : ! " ; ” ###LEFT-WALL### , . ? }
47	   4.7	9	0	80	{ : ! " ; ” ###LEFT-WALL### , . ? }
48	4.8000	10	0	80	{ : ! _ " ; ” ###LEFT-WALL### , . ? }
49	   4.9	10	0	80	{ : ! _ " ; ” ###LEFT-WALL### , . ? }
50	   5.0	10	0	80	{ : ! _ " ; ” ###LEFT-WALL### , . ? }
51	5.1000	8	0	80	{ : ! _ to ###LEFT-WALL### , . ? }
52	   5.2	11	0	80	{ : ! _ " ; ” to ###LEFT-WALL### , . ? }
53	5.3000	11	0	80	{ : ! _ " you ” to ###LEFT-WALL### , . ? }
54	   5.4	12	0	80	{ : ! _ ; ” that to of ###LEFT-WALL### , . ? }
55	   5.5	12	0	80	{ : when _ ; ” that to of ###LEFT-WALL### , . ? }
56	5.6000	35	0	349	{ therefore while yet because though where even how after before then who when what there if so all _ said which but with for as you ” it that to of ###LEFT-WALL### , . ? }
57	   5.7	35	0	349	{ therefore yet also though where even after before now then who when what there are if so all _ said which but with for as you ” it that to of ###LEFT-WALL### , . ? }
58	5.8000	44	0	383	{ perhaps therefore without while yet also though where even after before now then who when from there by are if so we all _ they said she which but with on for as you ” is it that to of ###LEFT-WALL### , . ? }
59	   5.9	51	0	687	{ especially perhaps therefore without while yet also though where even how after before now then who when what no from there by are if so we all _ they said she which but with at on for as not you ” is it that was to of ###LEFT-WALL### , . ? }
60	   6.0	53	0	383	{ perhaps therefore without while yet also though where even how after before like now only then who when what from there by are if so all _ they said she which but with at on be for as not you ” is it that was to and of ###LEFT-WALL### the , . ? }
