#
# Initial 2-clique: + <<>> —
#
# Tightness =    0.7
# This is using common-MI to determine in-group membership.
#
# idx	epsilon	size	min-index	max-index	words
0	   0.0	2	121	136	{ + — }
1	   0.1	2	121	136	{ + — }
2	   0.2	2	121	136	{ + — }
3	0.3000	2	121	136	{ + — }
4	   0.4	2	121	136	{ + — }
5	   0.5	2	121	136	{ + — }
6	0.6000	2	121	136	{ + — }
7	0.7000	2	121	136	{ + — }
8	   0.8	2	121	136	{ + — }
9	   0.9	2	121	136	{ + — }
10	   1.0	2	121	136	{ + — }
11	   1.1	2	121	136	{ + — }
12	1.2000	2	121	136	{ + — }
13	   1.3	2	121	136	{ + — }
14	1.4000	2	121	136	{ + — }
15	   1.5	2	121	136	{ + — }
16	   1.6	2	121	136	{ + — }
17	1.7000	3	121	139	{ [ + — }
18	   1.8	3	121	139	{ [ + — }
19	1.9000	3	121	139	{ [ + — }
20	   2.0	3	121	139	{ [ + — }
21	   2.1	3	121	139	{ [ + — }
22	   2.2	3	121	139	{ [ + — }
23	2.3000	3	121	139	{ [ + — }
24	2.4000	3	121	139	{ [ + — }
25	   2.5	3	121	139	{ [ + — }
26	   2.6	3	121	139	{ [ + — }
27	   2.7	3	121	139	{ [ + — }
28	2.8000	3	121	139	{ [ + — }
29	2.9000	3	121	139	{ [ + — }
30	   3.0	3	121	139	{ [ + — }
31	   3.1	3	121	139	{ [ + — }
32	   3.2	3	121	139	{ [ + — }
33	3.3000	3	121	139	{ [ + — }
34	3.4000	3	121	139	{ [ + — }
35	   3.5	4	121	847	{ – [ + — }
36	   3.6	4	121	847	{ – [ + — }
37	   3.7	4	121	847	{ – [ + — }
38	3.8000	4	121	144	{ ( [ + — }
39	3.9000	5	121	847	{ – ( [ + — }
40	   4.0	5	121	847	{ – ( [ + — }
41	4.1000	5	121	847	{ – ( [ + — }
42	   4.2	5	121	847	{ – ( [ + — }
43	   4.3	5	121	847	{ – ( [ + — }
44	   4.4	5	121	171	{ ] ( [ + — }
45	   4.5	5	37	144	{ ( [ _ + — }
46	4.6000	5	37	144	{ ( [ _ + — }
47	   4.7	5	37	144	{ ( [ _ + — }
48	4.8000	5	37	144	{ ( [ _ + — }
49	   4.9	5	37	144	{ ( [ _ + — }
50	   5.0	5	37	144	{ ( [ _ + — }
51	5.1000	6	37	144	{ ( [ * _ + — }
52	   5.2	6	37	144	{ ( [ * _ + — }
53	5.3000	6	37	144	{ ( [ * _ + — }
54	   5.4	6	37	144	{ ( [ * _ + — }
55	   5.5	7	37	171	{ ] ( [ * _ + — }
56	5.6000	7	37	171	{ ] ( [ * _ + — }
57	   5.7	7	37	171	{ ] ( [ * _ + — }
