#
# Initial 2-clique: i <<>> ii
#
# Tightness =    0.7
# This is using common-MI to determine in-group membership.
#
# idx	epsilon	size	min-index	max-index	words
0	   0.0	2	458	702	{ i ii }
1	   0.1	2	458	702	{ i ii }
2	   0.2	2	458	702	{ i ii }
3	0.3000	2	458	702	{ i ii }
4	   0.4	2	458	702	{ i ii }
5	   0.5	2	458	702	{ i ii }
6	0.6000	2	458	702	{ i ii }
7	0.7000	2	458	702	{ i ii }
8	   0.8	2	458	702	{ i ii }
9	   0.9	2	458	702	{ i ii }
10	   1.0	2	458	702	{ i ii }
11	   1.1	2	458	702	{ i ii }
12	1.2000	2	458	702	{ i ii }
13	   1.3	2	458	702	{ i ii }
14	1.4000	2	458	702	{ i ii }
15	   1.5	2	458	702	{ i ii }
16	   1.6	2	458	702	{ i ii }
17	1.7000	2	458	702	{ i ii }
18	   1.8	2	458	702	{ i ii }
19	1.9000	2	458	702	{ i ii }
20	   2.0	2	458	702	{ i ii }
21	   2.1	2	458	702	{ i ii }
22	   2.2	2	458	702	{ i ii }
23	2.3000	2	458	702	{ i ii }
24	2.4000	3	299	702	{ p i ii }
25	   2.5	3	299	702	{ p i ii }
26	   2.6	3	299	702	{ p i ii }
27	   2.7	4	299	702	{ $ p i ii }
28	2.8000	4	299	702	{ $ p i ii }
29	2.9000	4	299	702	{ $ p i ii }
30	   3.0	4	299	702	{ $ p i ii }
31	   3.1	4	299	702	{ $ p i ii }
32	   3.2	4	299	702	{ $ p i ii }
33	3.3000	4	299	702	{ $ p i ii }
34	3.4000	4	299	702	{ $ p i ii }
35	   3.5	4	299	702	{ $ p i ii }
36	   3.6	4	299	702	{ $ p i ii }
37	   3.7	4	299	702	{ $ p i ii }
38	3.8000	4	299	702	{ $ p i ii }
39	3.9000	4	299	702	{ $ p i ii }
40	   4.0	4	299	702	{ $ p i ii }
41	4.1000	4	299	702	{ $ p i ii }
42	   4.2	4	299	702	{ $ p i ii }
43	   4.3	4	299	702	{ $ p i ii }
44	   4.4	4	299	702	{ $ p i ii }
45	   4.5	4	299	702	{ $ p i ii }
46	4.6000	4	299	702	{ $ p i ii }
47	   4.7	4	299	702	{ $ p i ii }
48	4.8000	4	299	702	{ $ p i ii }
49	   4.9	4	299	702	{ $ p i ii }
50	   5.0	4	299	702	{ $ p i ii }
51	5.1000	4	299	702	{ $ p i ii }
52	   5.2	4	299	702	{ $ p i ii }
53	5.3000	5	299	702	{ $ N p i ii }
54	   5.4	5	299	702	{ $ N p i ii }
55	   5.5	5	299	702	{ $ N p i ii }
56	5.6000	5	299	702	{ $ N p i ii }
57	   5.7	5	299	702	{ $ N p i ii }
58	5.8000	7	299	888	{ R vol $ N p i ii }
59	   5.9	8	299	888	{ R vol $ D N p i ii }
60	   6.0	8	299	888	{ R vol $ D N p i ii }
61	6.1000	8	299	888	{ R vol $ D N p i ii }
62	   6.2	8	299	888	{ R vol $ D N p i ii }
63	6.3000	8	299	888	{ R Y $ D N p i ii }
64	   6.4	8	299	888	{ R Y $ D N p i ii }
65	   6.5	8	299	888	{ R M $ D N p i ii }
66	6.6000	8	299	888	{ R M $ D N p i ii }
67	   6.7	8	299	888	{ R M $ D N p i ii }
68	6.8000	8	37	871	{ vol $ p ( or _ i ii }
69	   6.9	8	37	871	{ vol $ p ( or _ i ii }
70	   7.0	8	37	871	{ vol $ p ( or _ i ii }
71	7.1000	11	37	915	{ b vol note p ] ( — or _ i ii }
72	   7.2	11	37	915	{ b note p ' ] ( — or _ i ii }
73	7.3000	11	37	915	{ b note p ' ] ( — or _ i ii }
74	   7.4	11	37	915	{ b note p ' ] ( — or _ i ii }
75	   7.5	12	37	915	{ b vol note p ' ] ( — or _ i ii }
76	7.6000	13	37	915	{ b vol note p ' ] ( [ — or _ i ii }
77	   7.7	14	37	915	{ b vol note $ p ' ] ( [ — or _ i ii }
78	7.8000	14	37	915	{ b vol note $ p ' ] ( [ — or _ i ii }
79	   7.9	56	16	711	{ died continued indeed answered really therefore however true says called once always ever sure something let while yet because also Jack still left told don’t put knew tell found though where nothing even here just too after thought before well come much say like about made now only then who or _ which ” i ii }
