#
# Initial 2-clique: she <<>> he
#
# Tightness =    0.7
# This is using common-MI to determine in-group membership.
#
# idx	epsilon	size	min-index	max-index	words
0	   0.0	2	10	34	{ she he }
1	   0.1	2	10	34	{ she he }
2	   0.2	2	10	34	{ she he }
3	0.3000	2	10	34	{ she he }
4	   0.4	2	10	34	{ she he }
5	   0.5	2	10	34	{ she he }
6	0.6000	2	10	34	{ she he }
7	0.7000	2	10	34	{ she he }
8	   0.8	2	10	34	{ she he }
9	   0.9	2	10	34	{ she he }
10	   1.0	2	10	34	{ she he }
11	   1.1	2	10	34	{ she he }
12	1.2000	2	10	34	{ she he }
13	   1.3	4	8	36	{ they I she he }
14	1.4000	5	8	46	{ we they I she he }
15	   1.5	5	8	46	{ we they I she he }
16	   1.6	5	8	36	{ they it I she he }
17	1.7000	6	8	83	{ then it that I she he }
18	   1.8	9	8	83	{ then if we they it that I she he }
19	1.9000	10	1	83	{ then if we they it that I the she he }
20	   2.0	10	1	83	{ then if we they it that I the she he }
21	   2.1	12	1	83	{ then when if we they which it that I the she he }
22	   2.2	12	1	83	{ then when if we they which it that I the she he }
23	2.3000	12	1	83	{ then when if we they which it that I the she he }
24	2.4000	14	1	83	{ then when there if we they which it that in I the she he }
25	   2.5	15	1	83	{ then when there if so we they which it that in I the she he }
26	   2.6	16	1	83	{ then who when there if so we they which it that I a the she he }
27	   2.7	18	1	83	{ then who when if so we they which with as it that in I a the she he }
28	2.8000	19	1	83	{ then who when there if so we they which with as it that in I a the she he }
29	2.9000	20	1	163	{ even then who when there if so we they which with as it that in I a the she he }
30	   3.0	20	1	145	{ after then who when there if so we they with as not it that in I a the she he }
31	   3.1	23	1	231	{ yet even after then who when there if so we they which with as not it that in I a the she he }
32	   3.2	24	1	349	{ therefore yet even after then who when there if so we they which as not you it that in I a the she he }
33	3.3000	24	1	349	{ therefore yet even after then who when there if so we they which as not you it that in I a the she he }
34	3.4000	25	1	349	{ therefore yet even after then who when there if so we they which with as not you it that in I a the she he }
35	   3.5	26	1	349	{ therefore yet even how after then who when there if so we they which with as not you it that in I a the she he }
36	   3.6	27	1	349	{ therefore yet even after then who when what there if so we they which with as not you his it that in I a the she he }
