#
# Initial 2-clique: spoke <<>> sat
#
# Tightness =    0.7
# This is using common-MI to determine in-group membership.
#
# idx	epsilon	size	min-index	max-index	words
0	  -2.0	2	386	541	{ spoke sat }
1	  -1.9	2	386	541	{ spoke sat }
2	  -1.8	2	386	541	{ spoke sat }
3	  -1.7	2	386	541	{ spoke sat }
4	  -1.6	2	386	541	{ spoke sat }
5	  -1.5	2	386	541	{ spoke sat }
6	  -1.4	2	386	541	{ spoke sat }
7	-1.300	3	11	541	{ was spoke sat }
8	  -1.2	3	11	541	{ was spoke sat }
9	  -1.1	3	11	541	{ was spoke sat }
10	  -1.0	4	11	541	{ looked was spoke sat }
11	-0.900	4	11	541	{ looked was spoke sat }
12	-0.800	5	11	541	{ looked had was spoke sat }
13	  -0.7	5	11	541	{ looked had was spoke sat }
14	-0.600	12	11	541	{ didn't wanted didn’t felt saw knew looked could had was spoke sat }
15	  -0.5	10	11	541	{ felt took saw went looked could had was spoke sat }
16	-0.400	11	11	541	{ gave felt took saw went looked could had was spoke sat }
17	-0.300	13	11	541	{ didn't didn’t might looked must should has did could had was spoke sat }
18	-0.200	14	11	541	{ didn’t saw might looked must may should has did could had was spoke sat }
19	-0.100	15	11	541	{ didn’t seemed might looked must may should can has did could had was spoke sat }
20	   0.0	23	11	726	{ wasn’t didn't didn’t seemed felt took saw went might looked must may should can has did will could had is was spoke sat }
21	0.1000	25	11	813	{ couldn’t wasn't didn't wanted didn’t felt took saw knew went might looked must may should can has did will could had is was spoke sat }
22	0.2000	28	11	977	{ couldn't couldn’t wasn't didn't wanted didn’t seemed gave felt took saw knew went might looked must may should can has did will could had is was spoke sat }
23	0.3000	29	11	813	{ couldn’t didn't wanted cannot didn’t seemed gave felt shall took saw knew went might looked am must may should can has did will could had is was spoke sat }
24	0.4000	30	11	813	{ couldn’t didn't wanted cannot didn’t felt shall took saw knew went might must may should can then has did will could were are we would had is was spoke sat }
25	   0.5	25	11	541	{ began didn't didn’t gave took went must may then has who did when will could are if so we would had is was spoke sat }
26	0.6000	24	11	541	{ gave took even went never may then has who when will there are if so we would they said had is was spoke sat }
27	0.7000	38	11	813	{ couldn’t didn't wanted cannot didn’t seemed gave felt shall took saw knew found went might looked came must may made should can then has did will could were do are would said have had is was spoke sat }
28	0.8000	42	11	977	{ couldn't couldn’t tried stood didn't wanted cannot didn’t seemed gave felt got shall took saw knew found went might looked came must may made should can then has did will could were do are would said have had is was spoke sat }
29	0.9000	46	11	977	{ couldn't couldn’t tried can’t stood didn't wanted cannot didn’t don't gave felt got told don’t shall took saw knew found went looked came thought must may made should can then has did will could were there do are would said have had is was spoke sat }
30	   1.0	37	11	541	{ began gave put shall took saw knew found even went after never must may made then has who did when will could were there are if so we would said with have had is was spoke sat }
31	   1.1	43	11	541	{ began therefore gave yet also took found even went just after never must may made now only then has who did when will were no there by are if so we would all they said which with have had is was spoke sat }
32	1.2000	45	11	541	{ began therefore gave yet also shall took found even went just after never must may made now only can then has who did when will were no there by are if so we would all they said which with have had is was spoke sat }
33	1.3000	60	11	830	{ sometimes thus especially began having perhaps therefore gave without let yet also still took found though where even went just how after never must made now only then has who did when will were no there by are if so we would all _ they said she which but with at have be for had is that was spoke sat }
34	1.4000	62	11	830	{ sometimes thus especially whose began having perhaps therefore gave without let yet also still put took found though where even went just how after never made now only then has who did when what will were no there by are if so we would all _ they said she which but with at have be for had is that was spoke sat }
35	   1.5	68	11	876	{ finally sometimes thus especially whose began having perhaps therefore gave without let while yet also still put took found though where even just how after thought never may made now only then has who did when what will were no there do by are if so we would one all this _ they said she which but with at have be for had is that was spoke sat }
36	   1.6	69	11	876	{ finally sometimes thus especially whose having perhaps therefore gave without let while yet also still put took found though where even just how after thought never may like made now only can then has who did when what will were no there do by are if so we would one all this _ they said she which but with at have be for had is that was spoke sat }
37	1.7000	76	11	876	{ finally sometimes thus especially whose began having indeed perhaps therefore gave without being let while yet also still put took found though where nothing even just how after thought never may like made now only can then has who did when what will were no my from there do by are if so we would one all this _ they said she which but with at have be for had as is that was spoke sat }
38	1.8000	80	11	876	{ finally sometimes thus especially whose probably began having indeed perhaps therefore says gave without let while yet also Jack still put took found though where nothing even went just too how after thought never may like made now only can then has who did when what will were no my from there do by are if so we would one all this _ they said she which but with at have be for had as is that was spoke sat }
39	1.9000	88	11	876	{ finally sometimes thus although especially whose probably began having indeed perhaps therefore says gave without being let while yet also Jack still put shall took found though where nothing even went just too how after thought never may like made should now only can then has who did when what will were no my from there do by are if so we would one all this _ they said she which but with at on have be for had as not you is it that was spoke sat }
40	   2.0	95	11	876	{ finally sometimes thus although especially whose continued probably began having almost indeed perhaps therefore says gave called without always let while yet also Jack still told put shall took saw found though where nothing even went just too how after thought never must may like made should now only can then has who did when what will were no my from there do by are if so we would one all this _ they said she which but with at on have be for had as not you his is it that was spoke sat }
41	2.1000	110	0	914	{ seeing finally sometimes thus although especially whose it’s taking probably began having indeed perhaps therefore looking since says gave without always being let while yet because also Jack still told put shall took saw such found though where nothing even went just too how after thought before never some may say like made should now only can then has who did when what will were no my from there do by are if so we would one all this _ they said she which her but with at on have be for had as not you his ” “ is it that was he in I the , spoke sat }
