#
# Initial 2-clique: town <<>> earth
#
# Tightness =    0.7
# This is using common-MI to determine in-group membership.
#
# idx	epsilon	size	min-index	max-index	words
0	  -2.0	2	435	449	{ town earth }
1	  -1.9	2	435	449	{ town earth }
2	  -1.8	2	435	449	{ town earth }
3	  -1.7	2	435	449	{ town earth }
4	  -1.6	2	435	449	{ town earth }
5	  -1.5	2	435	449	{ town earth }
6	  -1.4	2	435	449	{ town earth }
7	-1.300	2	435	449	{ town earth }
8	  -1.2	2	435	449	{ town earth }
9	  -1.1	2	435	449	{ town earth }
10	  -1.0	3	167	449	{ world town earth }
11	-0.900	3	167	449	{ world town earth }
12	-0.800	5	167	529	{ United country world town earth }
13	  -0.7	5	167	529	{ United country world town earth }
14	-0.600	6	167	529	{ United country people world town earth }
15	  -0.5	6	167	529	{ United country people world town earth }
16	-0.400	8	167	529	{ United sea city country house world town earth }
17	-0.300	11	165	568	{ church United sea city country people house world most town earth }
18	-0.200	14	165	1164	{ Project church United sea city war country people house men world most town earth }
19	-0.100	14	165	568	{ church United sea city air water country people house men world most town earth }
20	   0.0	15	165	568	{ church United sea city war water book country people house men world most town earth }
21	0.1000	18	165	1164	{ Project church French United land sea city war water book country people house men world most town earth }
22	0.2000	22	165	1164	{ Project Church human church French United family age sea city war water book country people old house men world most town earth }
23	0.3000	26	165	1164	{ Project chapter State Church human church French United family age sea city war body water book country work people old house men world most town earth }
24	0.4000	32	97	1164	{ Project chapter island State Church sun human river church French United land family age sea city war body water book country work people old house men world most two day town earth }
25	   0.5	35	97	1164	{ Project chapter island State Church sun human river church French United land past family age sea city war body kind water book whole country work people old house men world most two day town earth }
26	0.6000	44	85	1164	{ Project various British American chapter island State Church human river church French English public United land past family age sea city war air water morning year book country work people old night house men place world most two same day way other town earth }
27	0.7000	41	62	568	{ church United land family age sea city war nature body air water morning heart year book mind country hands work people night house face men place world most life room head two same day back way other man time town earth }
28	0.8000	39	31	449	{ bed ground home water feet heart father mind country hands work night house away face door himself again men right place world here side life room eyes head hand day back way other man time them him town earth }
29	0.9000	42	31	528	{ land fire city nature body light air bed ground home water heart mind country hands work night house face door again men right place world here side life room eyes head day back way other more man time them him town earth }
30	   1.0	48	31	489	{ together fire arms bed home water feet heart father mind off hands work night house away face door God himself again men right place here life room eyes head us ) good go hand down day back way now more man know up time them him town earth }
