#
# f1 and f2
#
#
# f1	f2
0.278213	0.804108
0.349207	0.468049
0.302564	0.617781
-0.37820	-0.85326
0.702330	0.949565
0.378865	0.845112
0.794339	0.935960
0.529632	0.914535
0.600703	0.895009
0.484623	0.627226
0.017626	0.121008
0.154541	0.509986
-0.00024	-0.38074
-0.25426	-0.83875
1.000000	     1.0
-0.37663	-0.90037
0.765950	0.965412
0.388721	0.647296
-0.26139	-0.78470
-0.34538	-0.86831
-0.22714	-0.76675
0.481368	0.721896
-0.21683	-0.71037
-0.54871	-0.93238
0.201588	0.380856
-0.31930	-0.76769
0.218097	0.618130
-0.07707	-0.03934
0.423307	0.795724
0.304098	0.471261
0.219418	0.437422
-0.03316	-0.41885
0.749458	0.934898
0.600139	0.847477
0.408132	0.769445
0.287461	0.677976
0.561968	0.702572
0.334457	0.560651
0.292140	0.532908
0.665137	0.913518
0.414323	0.688210
0.215657	0.074659
0.384901	0.699795
0.036062	-0.35571
0.551316	0.689011
-0.02293	0.074912
0.034408	-0.40848
0.116967	0.296459
0.403468	0.747939
0.211269	0.643892
-0.13300	-0.53485
0.392660	0.731523
0.321350	0.628073
-0.18705	-0.68475
0.282096	0.508218
0.271190	0.568132
0.214480	0.236242
0.468026	0.710755
0.683206	0.929399
-0.18813	-0.42851
0.365567	0.643043
0.058460	0.238305
0.702960	0.974868
-0.10790	-0.26117
0.311164	0.594912
0.032528	-0.41771
-0.07499	-0.59293
0.679403	0.947961
-0.13113	-0.43657
-0.21645	-0.78265
0.727888	0.976485
-0.08925	-0.19881
0.661611	0.968600
0.397868	0.231925
0.710603	0.930543
-0.25437	-0.79831
-0.34540	-0.88159
0.022366	0.139825
0.537805	0.919592
0.143266	-0.22931
0.033242	0.215764
0.282501	0.008616
0.646484	0.960328
0.107088	-0.09443
0.672113	0.859489
0.202697	-0.02782
0.528488	0.861812
0.481873	0.901275
-0.23465	-0.73096
-0.07060	-0.56258
-0.21936	-0.81138
0.536944	0.900773
0.342702	0.677278
-0.09107	0.040625
0.047495	0.194632
0.120216	0.024953
-0.17666	-0.59389
0.255495	0.515008
-0.07699	-0.80298
1.000000	1.000000
0.334671	0.562348
0.662576	0.907578
0.778426	0.984812
0.491962	0.748551
0.112789	0.429756
0.135117	0.074666
0.464440	0.955779
0.620444	0.935254
0.012531	-0.58755
0.339646	0.208277
-0.36714	-0.88431
-0.20140	-0.24277
0.432405	0.290029
0.628850	0.879883
-0.35236	-0.87388
0.457197	0.857361
0.228656	0.201122
0.121937	0.315482
-0.45130	-0.90790
0.589467	0.939256
0.358830	0.190526
0.204001	0.356429
0.366944	0.779326
0.084887	0.043947
0.350354	0.338775
-0.01680	0.045074
-0.20291	-0.79120
-0.02130	-0.06440
0.513954	0.923101
0.445305	0.905948
-0.29533	-0.75452
-0.26788	-0.80773
0.065942	-0.07604
-0.27318	-0.86337
-0.08530	-0.11683
     1.0	1.000000
-0.52596	-0.93671
0.579172	0.938094
-0.31545	-0.78859
-0.16299	-0.53355
1.000000	1.000000
-0.22404	-0.78990
-0.05100	-0.06514
-0.37475	-0.88414
0.080186	0.366281
-0.03912	-0.73581
0.538925	0.963811
0.038886	-0.50967
0.261636	0.071381
0.339947	0.561246
0.492330	0.743572
0.706106	0.970890
-0.53849	-0.95946
-0.08582	-0.72925
0.022029	0.035758
0.608620	0.946284
-0.34917	-0.86292
0.206932	0.326491
-0.06717	-0.59533
0.381486	0.822246
0.323660	0.670210
0.145189	-0.00337
0.657080	0.944020
0.797790	0.972605
0.408444	0.433693
0.619758	0.790575
0.203229	0.272126
0.582223	0.870529
-0.07157	-0.55497
0.210098	-0.30728
0.380770	0.881954
-0.01102	-0.05674
0.680796	0.968517
0.699282	0.950487
0.027160	-0.11117
0.696853	0.715652
0.203587	-0.39074
0.015857	-0.56964
