#
# Gaussian-cosines vs MI
#
#
# goe	mi
1.000000	11.44603
-0.27668	-12.9943
0.213025	-6.93909
-0.16311	  -inf.0
-0.04142	-9.58594
0.157085	-3.40151
-0.07750	  -inf.0
0.365270	  -inf.0
-0.34924	-5.22328
0.180191	  -inf.0
0.419561	-0.37403
0.854094	4.560524
0.337048	-2.58392
0.432802	2.595752
-0.03378	-1.98130
0.369409	-2.50042
0.308615	-0.38700
0.388987	-1.21259
0.328923	0.262872
0.371674	-0.55031
0.378074	-0.26905
0.410829	0.355425
0.393927	1.152053
0.220880	-1.04915
0.404785	-2.00411
0.114226	-2.50050
0.320610	0.174269
0.059359	-2.07871
0.212812	0.075370
-0.04623	-1.77164
-0.03684	-1.44718
0.357092	-0.55321
0.418779	-2.00004
0.401285	-1.27271
0.391219	-1.59271
0.181073	-1.21137
0.310091	-3.98518
0.330312	0.195795
0.238981	-1.20076
0.220864	-1.54061
0.297871	0.699983
0.291504	-1.40748
0.187459	-2.31021
0.352203	-1.91863
0.244799	-0.73946
0.224711	-1.77815
0.287461	-1.72989
-0.03810	-3.13090
-0.04824	-1.86650
0.012531	-2.74202
0.125379	-1.42672
0.058935	-1.32426
0.185814	-2.20986
0.426923	1.391783
0.055737	-1.56263
0.115011	-0.69936
0.027377	-2.02188
0.218771	-0.52318
0.316255	-1.30964
-0.00914	-1.64961
-0.11328	-2.64615
0.156206	-1.15641
0.132709	-1.45498
0.315449	-2.81355
0.305630	-0.81652
0.331819	-2.49079
-0.11866	-2.23468
-0.03889	-1.42391
-0.01047	-1.53954
-0.01035	-1.66758
0.361312	-1.22569
0.276640	0.721287
0.314419	-0.81895
0.250827	-1.48531
0.439052	-0.87434
0.392047	-0.00286
0.207680	-0.24461
0.410156	-0.57425
0.334223	-2.48509
0.106313	-0.82098
0.276571	-0.95356
0.255843	-0.72765
0.441505	-0.84799
0.319118	-2.36081
0.326938	-2.07451
0.000681	-1.45628
0.212979	-1.70935
0.109024	-1.25025
0.162868	-2.23790
0.376572	1.473006
0.028134	-2.41813
0.289957	-3.33852
0.282613	-0.78298
0.310199	-1.57454
0.191908	-2.74916
0.341683	-1.01114
0.006641	-1.79453
0.081255	-1.76100
0.350105	-2.17028
0.076817	-1.94376
0.019538	-2.02804
-0.06909	-1.17820
0.277119	1.117085
0.328452	-2.65301
0.356371	-1.21687
-0.00320	-2.30216
0.165811	-0.96303
0.397711	-1.05349
0.238751	-2.29060
