#
# MI and Cosines
#
#
# mi	rmi	cos-mi	cos-rmi
11.44603	11.85077	1.000000	1.000000
-12.9943	-11.0403	-0.27668	-0.56946
-6.93909	-6.66949	0.213025	0.049619
  -inf.0	  -inf.0	-0.16311	-0.51071
-9.58594	-7.81396	-0.04142	-0.43702
-3.40151	-2.70287	0.157085	-0.15162
  -inf.0	  -inf.0	-0.07750	-0.48239
  -inf.0	  -inf.0	0.365270	0.200756
-5.22328	-3.37085	-0.34924	-0.60537
  -inf.0	  -inf.0	0.180191	0.037593
-0.37403	3.486563	0.419561	0.188581
4.560524	7.799657	0.854094	0.776527
-2.58392	0.810627	0.337048	-0.18123
2.595752	4.571272	0.432802	0.499197
-1.98130	0.335354	-0.03378	0.224154
-2.50042	0.713598	0.369409	0.185114
-0.38700	2.954982	0.308615	0.317254
-1.21259	2.039382	0.388987	0.217484
0.262872	3.004943	0.328923	0.393085
-0.55031	3.197717	0.371674	0.396217
-0.26905	2.503285	0.378074	0.183123
0.355425	4.083260	0.410829	0.208920
1.152053	4.147483	0.393927	0.327485
-1.04915	1.574576	0.220880	0.376973
-2.00411	1.637168	0.404785	0.132361
-2.50050	-0.35927	0.114226	0.301842
0.174269	1.795898	0.320610	0.318768
-2.07871	1.538751	0.059359	0.443530
0.075370	2.829083	0.212812	0.514216
-1.77164	1.982449	-0.04623	0.396867
-1.44718	1.499594	-0.03684	0.433279
-0.55321	2.512555	0.357092	0.564437
-2.00004	1.726483	0.418779	0.158329
-1.27271	2.349638	0.401285	0.508577
-1.59271	2.528494	0.391219	0.424524
-1.21137	2.434019	0.181073	0.524672
-3.98518	-2.00358	0.310091	0.057652
0.195795	4.563855	0.330312	0.484545
-1.20076	0.734242	0.238981	0.321617
-1.54061	0.300222	0.220864	0.184763
0.699983	2.661045	0.297871	0.234216
-1.40748	0.659461	0.291504	0.306492
-2.31021	0.201968	0.187459	0.252045
-1.91863	0.533094	0.352203	0.030260
-0.73946	2.000539	0.244799	0.530439
-1.77815	-0.32105	0.224711	0.224612
-1.72989	-0.53988	0.287461	0.030385
-3.13090	-0.34112	-0.03810	0.213184
-1.86650	1.279019	-0.04824	0.396044
-2.74202	0.601974	0.012531	0.313674
-1.42672	0.733921	0.125379	0.317557
-1.32426	1.338255	0.058935	0.400059
-2.20986	1.709464	0.185814	0.432234
1.391783	3.781878	0.426923	0.473667
-1.56263	1.226952	0.055737	0.361976
-0.69936	1.619197	0.115011	0.555050
-2.02188	0.779196	0.027377	0.236136
-0.52318	2.870158	0.218771	0.533159
-1.30964	2.323811	0.316255	0.436944
-1.64961	1.535358	-0.00914	0.403081
-2.64615	-0.54436	-0.11328	0.306290
-1.15641	1.246453	0.156206	0.506605
-1.45498	1.447421	0.132709	0.454251
-2.81355	-0.59394	0.315449	0.081653
-0.81652	2.951478	0.305630	0.553942
-2.49079	-0.01799	0.331819	0.062591
-2.23468	-0.00668	-0.11866	0.262779
-1.42391	0.778480	-0.03889	0.389929
-1.53954	1.876373	-0.01047	0.379446
-1.66758	0.999717	-0.01035	0.377596
-1.22569	2.073886	0.361312	0.478811
0.721287	2.898776	0.276640	0.248430
-0.81895	3.606989	0.314419	0.528800
-1.48531	2.464310	0.250827	0.381431
-0.87434	0.891468	0.439052	0.015357
-0.00286	3.679848	0.392047	0.144914
-0.24461	1.766352	0.207680	0.503557
-0.57425	2.114888	0.410156	0.165263
-2.48509	0.547644	0.334223	0.331771
-0.82098	2.063287	0.106313	0.486032
-0.95356	2.276508	0.276571	0.550903
-0.72765	2.840386	0.255843	0.565057
-0.84799	3.613018	0.441505	0.284704
-2.36081	0.398086	0.319118	0.082648
-2.07451	1.395412	0.326938	0.230495
-1.45628	1.317373	0.000681	0.414945
-1.70935	-0.08629	0.212979	0.289767
-1.25025	1.517086	0.109024	0.483811
-2.23790	-0.45252	0.162868	0.238971
1.473006	4.930133	0.376572	0.378658
-2.41813	0.848029	0.028134	0.384839
-3.33852	-1.42185	0.289957	0.052542
-0.78298	0.846113	0.282613	0.371257
-1.57454	1.630906	0.310199	0.258324
-2.74916	0.626809	0.191908	0.369336
-1.01114	2.066296	0.341683	0.469583
-1.79453	1.749359	0.006641	0.394242
-1.76100	1.154184	0.081255	0.447503
-2.17028	0.692142	0.350105	0.136133
-1.94376	0.733414	0.076817	0.382317
-2.02804	-0.00491	0.019538	0.423306
-1.17820	0.996259	-0.06909	0.349569
1.117085	3.652857	0.277119	0.539969
-2.65301	-0.20245	0.328452	0.268351
-1.21687	1.833239	0.356371	0.470054
-2.30216	1.104633	-0.00320	0.400777
-0.96303	2.031200	0.165811	0.495178
-1.05349	2.020237	0.397711	0.256480
-2.29060	0.199419	0.238751	0.277335
1.247812	5.298634	0.370102	0.370660
-1.17559	1.552876	0.248497	0.441832
-1.42585	0.312444	0.301443	0.325024
2.375385	6.749190	0.499634	0.528057
-1.35986	0.808304	0.289009	0.049079
-2.15784	0.557783	0.349566	0.241636
-2.91110	-0.17651	0.242866	0.395343
-0.69719	2.685186	0.124224	0.505630
-1.29184	2.028442	0.180906	0.497568
-0.99924	1.948588	0.364839	0.204651
-0.70717	1.422649	0.180515	0.487503
